reg_id,clause,considered_references,policy_id,deviation_index,deviation_found,article,gdpr_requirement,policy_realization,deviation_type,analysis
REG-064,Art79(1),[],,,False,,,,,
REG-051,Art26(9),"[""Art17(1)"", ""Art17(2)"", ""Art17(3)"", ""Art18(1)"", ""Art18(2)"", ""Art18(3)"", ""Art20(1)"", ""Art20(2)""]",,,False,,,,,
REG-011,Art9(9),[],,,False,,,,,
REG-010,Art9(8),[],,,False,,,,,
REG-018,Art10(6),"[""Art13(3)""]",,,False,,,,,
REG-091,UNKNOWN,[],,,False,,,,,
REG-044,Art26(2),[],,,False,,,,,
REG-025,Art13(1),[],,,False,,,,,
REG-049,Art26(7),[],,,False,,,,,
REG-006,Art9(4),[],,,False,,,,,
REG-004,Art9(2),[],,,False,,,,,
