reg_id,clause,considered_references,policy_id,deviation_index,deviation_found,article,gdpr_requirement,policy_realization,deviation_type,analysis
REG-038,Art15(1),[],,,False,,,,,
REG-001,Art8(1),"[""Art6(3)"", ""Art6(4)"", ""Art8(1)"", ""Art8(2)"", ""Art8(3)"", ""Art9(2)"", ""Art9(3)"", ""Art9(4)"", ""Art13(1)""]",,,False,,,,,
REG-008,Art9(6),"[""Art6(3)"", ""Art6(4)"", ""Art9(2)"", ""Art9(3)""]",,,False,,,,,
REG-064,Art79(1),[],,,False,,,,,
REG-033,Art14(1),[],,,False,,,,,
REG-031,Art13(7)(vi),[],,,False,,,,,
REG-013,Art10(1),"[""Art13(3)"", ""Art13(4)""]",,,False,,,,,
REG-018,Art10(6),"[""Art13(3)"", ""Art13(4)""]",,,False,,,,,
REG-046,Art26(4),"[""Art22(3)"", ""Art22(4)""]",,,False,,,,,
REG-015,Art10(3),[],,,False,,,,,
